workbook=# update
workbook-#
workbook-# rental
workbook-#
workbook-# set
workbook-#
workbook-# rental_date = current_DATE
workbook-#
workbook-# where
workbook-#
workbook-# user_id = 'B200405'
workbook-#
workbook-# AND
workbook-#
workbook-# isbn = '4-0010-0000-1';
UPDATE 1
workbook=# select * from rental;
 id | user_id |     isbn      | rental_date | returned
----+---------+---------------+-------------+----------
 10 | B200504 | 4-0010-0000-0 | 2012-03-20  |        0
 12 | A200402 | 4-8833-0000-2 | 2012-02-22  |        0
 14 | A200405 | 4-0010-0000-0 | 2012-06-14  |        0
 15 | B200402 | 4-8833-0000-2 | 2012-08-27  |        1
 16 | B200404 | 4-8833-0000-2 | 2012-12-10  |        0
 19 | B200501 | 4-0010-0000-0 | 2012-09-15  |        1
 20 | B200503 | 4-8833-0000-1 | 2013-03-16  |        0
 21 | B200504 | 4-7980-0945-8 | 2013-01-14  |        0
 22 | B200505 | 4-7981-0959-2 | 2013-01-12  |        0
 23 | A200405 | 4-8833-0000-3 | 2012-12-22  |        0
 24 | B200403 | 4-0010-0000-9 | 2012-12-27  |        0
  1 | A200501 | 4-0010-0000-0 | 2011-12-01  |        9
  2 | A200403 | 4-8833-0000-2 | 2010-12-03  |        9
  3 | A200405 | 4-8833-0000-2 | 2011-03-20  |        9
  4 | B200403 | 4-8833-0000-2 | 2011-04-16  |        9
  5 | B200405 | 4-0010-0000-0 | 2012-01-16  |        9
  6 | A200502 | 4-8833-0000-2 | 2011-07-22  |        9
  7 | A200505 | 4-8833-0000-2 | 2011-08-23  |        9
  8 | B200501 | 4-8833-0000-2 | 2011-11-10  |        9
  9 | B200503 | 4-8833-0000-2 | 2012-01-20  |        9
 11 | A200401 | 4-8833-0000-2 | 2012-02-11  |        9
 13 | A200404 | 4-8833-0000-2 | 2012-03-19  |        9
 17 | A200502 | 4-7980-0522-3 | 2011-10-25  |        9
 18 | A200506 | 4-7981-0722-0 | 2012-03-26  |        9
 25 | B200405 | 4-0010-0000-1 | 2017-06-06  |        0
